HR,ABS,percent,nagano,fujino,maeda,yamasaki,name
145,18.2075471698113,25,1,0,0,0,nagano
120,2.9245283018868,25,1,0,0,0,nagano
110,13.3018867924528,25,1,0,0,0,nagano
100,4.0566037735849,25,1,0,0,0,nagano
80,0.471698113207548,25,1,0,0,0,nagano
145,9.62264150943397,50,1,0,0,0,nagano
120,6.60377358490566,50,1,0,0,0,nagano
110,23.3962264150943,50,1,0,0,0,nagano
100,15.4716981132075,50,1,0,0,0,nagano
80,19.0566037735849,50,1,0,0,0,nagano
145,10.0943396226415,75,1,0,0,0,nagano
120,21.0377358490566,75,1,0,0,0,nagano
110,38.9622641509434,75,1,0,0,0,nagano
100,37.2641509433962,75,1,0,0,0,nagano
80,8.20754716981132,75,1,0,0,0,nagano
145,9.77751756440281,25,0,1,0,0,fujino
120,8.25526932084309,25,0,1,0,0,fujino
130,17.1545667447307,25,0,1,0,0,fujino
110,5.09367681498829,25,0,1,0,0,fujino
90,12.0023419203747,25,0,1,0,0,fujino
145,3.86416861826698,50,0,1,0,0,fujino
120,5.97189695550352,50,0,1,0,0,fujino
130,5.26932084309133,50,0,1,0,0,fujino
110,7.14285714285715,50,0,1,0,0,fujino
90,1.75644028103045,50,0,1,0,0,fujino
145,15.5152224824356,75,0,1,0,0,fujino
120,6.96721311475409,75,0,1,0,0,fujino
130,1.22950819672131,75,0,1,0,0,fujino
110,20.6674473067916,75,0,1,0,0,fujino
90,14.344262295082,75,0,1,0,0,fujino
145,2.34375,25,0,0,1,0,maeda
120,0.5859375,25,0,0,1,0,maeda
130,7.8125,25,0,0,1,0,maeda
110,8.0078125,25,0,0,1,0,maeda
90,10.9375,25,0,0,1,0,maeda
145,16.6015625,50,0,0,1,0,maeda
120,19.921875,50,0,0,1,0,maeda
130,15.234375,50,0,0,1,0,maeda
110,12.3046875,50,0,0,1,0,maeda
90,24.8046875,50,0,0,1,0,maeda
145,12.6953125,75,0,0,1,0,maeda
120,32.03125,75,0,0,1,0,maeda
130,33.984375,75,0,0,1,0,maeda
110,33.984375,75,0,0,1,0,maeda
90,32.03125,75,0,0,1,0,maeda
120,34.6658711217184,25,0,0,0,1,yamasaki
135,25.8353221957041,25,0,0,0,1,yamasaki
110,15.5727923627685,25,0,0,0,1,yamasaki
100,9.84486873508354,25,0,0,0,1,yamasaki
90,26.0739856801909,25,0,0,0,1,yamasaki
120,9.90453460620525,50,0,0,0,1,yamasaki
135,23.7470167064439,50,0,0,0,1,yamasaki
110,15.8711217183771,50,0,0,0,1,yamasaki
100,17.7804295942721,50,0,0,0,1,yamasaki
90,27.8042959427208,50,0,0,0,1,yamasaki
120,5.66825775656325,75,0,0,0,1,yamasaki
135,16.8854415274463,75,0,0,0,1,yamasaki
110,8.77088305489261,75,0,0,0,1,yamasaki
100,11.5155131264916,75,0,0,0,1,yamasaki
90,5.66825775656325,75,0,0,0,1,yamasaki
